Bild uuid,Gruppe,Deutscher Artikelname,Nettogewicht,Preis in €,Eiweiß in g (auf 100g),Eiweiß in g (Pro Stück),Russischer Artikelname
036d388a-c49a-42be-ad5f-8b0fac860b28,Hammermühle,Mehlmischung,1000g,5.55   ,0.2,,Мука
04beb3d3-df45-48d1-91a4-bcc5a92f8d1e,Hammermühle,Mehl-Mix Rustikal,1000g,6.15   ,2.0,,"Смесь для белого хлеба ""Деревенская"""
a9925858-b5db-4374-9fb8-f18b753aca0c,Hammermühle,Mehl-Mix Hell,1000g,5.55   ,2.2,,"Смесь для белого хлеба ""Cветлая"""
e1d631f3-3a7c-49a0-a3f8-774cddacfdbc,Hammermühle,Back-Mix Kastanienbrot,500g,4.30   ,2.2,,Смесь для черного хлеба
ab87d65d-b5df-4ace-9417-e6cf4bc0bf08,Hammermühle,Back-Mix Weissbrot,500g,4.30   ,1,,Смесь для белого хлеба
57d6256e-2265-45e6-bef0-eee3dddcc25c,Hammermühle,Mehl-Mix Pizza,500g,4.30   ,1.2,,Смесь для приготовления пиццы
4579d8e2-e157-4e0b-bd9f-536261a37340,Hammermühle,Ei-Ersatz,250g,6.15   ,0.5,,Заменитель яиц
83dfe5f2-14e8-4e4d-89ba-e41a425d50d0,Hammermühle,Trokensauerteig,500g,7.98   ,7.5,,Сухая закваска для приготовления хлеба
d6181cc3-75a5-47f0-90c0-e5610ae5ce8c,Hammermühle,Haltbares Weissbrot,500g,4.90   ,1.0,,Белый хлеб долгого хранения
92af0768-1ac3-47f1-a940-85f79efbdb36,Hammermühle,Baguette Haltbares ,500g,5.55   ,1.0,,Багеты долгого хранения
df01bf3d-a5a7-4a66-8cc2-5a1df65793c4,Hammermühle,Bauernbrot haltbar,215g,4.30   ,2.0,,Каштановый хлеб долгого хранения
438e09d5-7505-4b68-85a7-931ee709a012,Hammermühle,Pizzaboden vorgebacken,450g,7.50   ,1.0,,Основание для пиццы 3 коржа
f5908d91-b2b9-4842-a02c-17a4532b2f82,Hammermühle,Waffelbrot,100g,4.05   ,0.6,,"Вафельные листы, подходят для бутербродов и приготовления тортов"
e4d98db3-af75-4802-a37f-065acb97bfce,Hammermühle,Aproten Spaghetti,500g,6.75   ,0.6,,Спагетти Апротен
c226f7d7-d6cc-4661-920f-76ebeb608147,Hammermühle,Aproten Rigatini,500g,7.40   ,0.6,,Короткие макароны фирмы Апротен
5241f104-fbba-44db-91ee-8992450aed54,Hammermühle,Aproten Tagliatelle,250g,6.75   ,0.6,,Макароны гнезда фирмы Апротен
39be5831-da18-4d41-8c06-cb9f88bcbb60,Hammermühle,Himbeerkekse,125g,3.70   ,2.7,,Малиновое печенье с ванильным кремом
bcd360eb-2871-44c4-836e-5904c51f521a,Hammermühle,Schweinsohren mit Zartbitterschokolade,120g,5.00   ,2.6,,"Слоеное печенье ""свинные ушки"" в темном шоколаде"
1a9a4031-1eb7-46ee-9df2-f1b0c622bf2f,Harifen,Harifen Backmischung für Brot/Gebäck,500g,4.95   ,0.3,,Смесь для приготовления хлеба и выпечки
1bceccdd-aa45-4f69-88a0-f938e140e386,Harifen,Harifen Mix für Karamellpuding,500g,8.65   ,0.8,,Смесь для приготовления карамельного пудинга
9cd1fbd2-be64-4e59-88a7-8da396a6a225,Harifen,Harifen Schoko-Shake Mix,500g,8.65   ,4,,Смесь для шоколадного напитка
6fab0654-f76c-4e02-aa6a-e25d9f084680,Harifen,Harifen Pasta Riso,500g,6.10   ,0.4,,Заменитель риса фирмы Харифен
5eb34e53-70e1-434a-b946-dcbc17c0befc,Harifen,Harifen Cous-Cous,500g,6.00   ,0.4,,Кус кус
979d3f28-5237-46e1-b2d1-019f406179aa,Harifen,Harifen Buchstabennudeln,500g,7.70   ,0.35,,Макароны Буковки
d223f344-c029-4a09-af05-cb80e7bb5486,Harifen,Harifen Fusilli,500g,6.00   ,0.35,,Макароны Спиральки
09305712-77f6-4ca4-a6dc-27c6c1efff99,Harifen,Harifen Bunte Fusilli,500g,6.00   ,0.9,,Макароны цветные Спиральки
2630cc06-15c1-4d79-95b3-4a91c593a8ce,Harifen,Harifen Penne,500g,6.00   ,0.35,,Макароны Перья
d9e97c18-e27e-46e8-930e-3cba56a7ade2,Harifen,Harifen Spaghetti,500g,6.00   ,0.35,,Макароны Спагетти
d686d7f8-dcf8-473b-a153-676563674b0f,Harifen,Harifen Suppennudeln,500g,6.00   ,0.35,,Вермишель для супа
36a3ff29-e8c5-4f6b-b680-f50235f8b191,Harifen,Harifen Gebäck-Zungen,125g,4.50   ,0.35,,Печенье карамельные язычки
1ea91740-abc5-4b1c-8652-9b6422d986ab,Harifen,Harifen Cookies Cacaochips,150g,4.50   ,0.55,,Печенье фирмы Харифен с шоколадными крошками
a66e84e4-0a48-427d-80b5-1096f77f691e,Harifen,Harifen Vanilla Kekse,200g,4.50   ,0.35,,Ванильное печенье
45b2a7ce-e7ba-4f72-92a5-476d0ae0afbb,Harifen,Harifen Kakao Kekse,125g,4.50   ,0.55,,Шоколадное печенье
7b5f916e-7460-46a8-869f-9ca2409ab6ed,Harifen,Harifen Riegel mit Aprikosenfüllung,125g,4.50   ,0.35,,Батончики с абрикосовой начинкой
b8cbbcf5-7060-425a-b74e-e0ef55d98b7a,Harifen,Harifen Riegel mit Erdbeerfüllung,125g,4.50   ,0.3,,Батончики с клубничной начинкой
78a5ca7d-168c-4360-bbd3-d7666bf25d25,Harifen,Harifen Saladitos ,120g,4.50   ,0.3,,Воздушные палочки фирмы Харифен (не сладкие)
1e3413b0-daa5-4be1-850c-db21c435d701,Harifen,Harifen Saladitos Oregano,120g,4.50   ,0.3,,Воздушные палочки фирмы Харифен с Орегано (не сладкие)
5452c85e-b97f-4350-a053-79092867d77d,Harifen,Harifen Saladitos Rosmarin,120g,4.50   ,0.3,,Воздушные палочки фирмы Харифенс Розмарином (не сладкие)
a27959de-c5f4-47e1-9e97-5219ac5921b5,Milupa,lp-Drink (Getränkepulver),400g,16.35   ,4.0,,Малобелковое молоко фирмы Милупа
c4a3d9b8-581f-4c92-b9d0-e32b518e59e4,Milupa,lp-drink choco,375g,15.80   ,4.0,,Малобелковое какао фирмы Милупа
dd0f6ef2-2dc7-419c-91a8-c4006f230b8d,Milupa,lp-fruity Birne,300g,8.20   ,1.7,,Малобелковая каша со вкусом груши фирмы Милупы
bc6607e8-27cc-4064-967d-3b1b999912c6,Milupa,lp-fruity Apfel-Banane,300g,8.20   ,1.8,,Малобелковая каша со вкусом яблоко банан фирмы Милупы
6a9fd8d9-a55e-4807-8e26-1ca3b1c50ea0,Milupa,lp-flakes,375g,7.25   ,0.3,,Хлопья для завтрака фирмы Милупа
c6947f82-4a81-4785-8b10-aff06c3818a9,Milupa,lp-ringlets,250g,4.70   ,1.0,,Колечки  шоколадные для завтрака фирмы Милупа
6dd5897b-a852-4c05-9593-316f01bc9993,Loprofin,Flakes 'Erdbeer',375g,7.25   ,0.2,,Хлопья для завтрака со вкусом клубники
5d0e9cbc-f710-407a-85f2-133abe9896eb,Loprofin,Flakes 'Schoko',375g,7.25   ,0.4,,Хлопья для завтрака со вкусом шоколада
c0a92432-ec59-4709-b86c-af2a531b1f84,Loprofin,Frühstücksringel,375g,7.25   ,0.4,,Колечки для завтрака с нейтральным вкусом 
1f69e31a-e414-449e-9590-578b979b194f,Loprofin,LOPROFIN PKU-Milch,5400ml,45.00   ,0.4,,Жидкое молоко упаковка 27 пачек
d0bdd95a-b8eb-45e4-8922-75eb1274d668,Loprofin,LOPROFIN PKU-Milch,200ml,1.85   ,0.4,,"Жидкое молоко упаковка 1 пачка, порционное"
a8532c51-fad9-4a34-bda9-0360e0f4e246,Loprofin,LOPROFIN Sno-Pro,5400ml,55.00   ,0.25,,Жидкое молоко упаковка 27 пачек
cfa7a7e8-b501-4323-9a15-784240d498a4,Loprofin,LOPROFIN Sno-Pro,200ml,2.05   ,0.25,,"Жидкое молоко упаковка 1 пачка, порционное"
84696864-81b5-442e-bb46-4761a1050ab3,Loprofin,Kartoffelpüree,130g,4.65   ,4.2,,Картофельное пюре
9ae98e16-b5f6-4e37-9f00-eef990397526,Loprofin,Kartoffelpuffer,170g,4.65   ,1.9,,Картофельные драники
f025a8c4-e6ec-4c39-a27e-35c582649588,Loprofin,Kartoffelknödel   ,200g,4.65   ,2.7,,Картофельные клецки
cc43e1b8-04cb-4316-9712-9be08d92f079,Loprofin,statt Reis,500g,5.70   ,0.4,,Заменитель риса
c22ae36c-2ea3-490a-bc87-b06793a322cc,Loprofin,Lasagne,250g,5.80   ,0.5,,Листы для лазаньи
a87f06d5-397c-40b2-9cf5-7ad8a3d0bd1d,Loprofin,Spaghetti,500g,5.70   ,0.5,,Спагетти
a31dd9ae-7e26-4d8b-a709-2beefee9e31b,Loprofin,Penne,500g,5.70   ,0.5,,Макароны Перья
f2dcb72b-26ae-416a-a68a-8adc0397dd98,Loprofin,Fusilli,500g,5.70   ,0.5,,Макароны Спиральки
04431c8b-7962-49ac-9d48-a6cdd6f109c4,Loprofin,Conchiglie,500g,5.70   ,0.4,,Макароны Ракушки
809a8e62-3208-49e5-8590-0b294e724a1e,Loprofin,Animal Pasta,500g,5.70   ,0.5,,Макароны в форме зверюшек
9a15b453-d195-43fc-bbdb-75f75f9d091d,Loprofin,Tagliatelle,250g,3.50   ,0.4,,Макароны Гнезда
7e439055-6950-4e0a-87e7-a7286ad5edd4,Loprofin,Lisce,250g,3.50   ,0.4,,Макароны рожки
7f6919ad-2772-45ec-ae6a-fb404037919a,Loprofin,Puntoni,250g,3.50   ,0.5,,Макароны в виде зерен
be5db3e8-dd09-4595-a2bb-2f8fe9cdb304,Loprofin,Kräcker,150g,7.10   ,0.4,,Крекер
a1035478-afef-473a-89f6-143af4642b29,Loprofin,Kräuter-Kräcker,150g,7.10   ,0.5,,Крекер с травками
ffb7b93b-016f-4d0f-a59e-fe4273c1fb9b,Loprofin,statt Ei Loprofin,500g,22.80   ,0.3,,Заменитель яиц
f2e11c1a-29dd-48e7-909d-d11be618d318,Loprofin,statt Eiklar,100g,29.30   ,0.0,,Заменитель белка
893a651e-77bc-4463-aa47-df20a5c0e76b,Loprofin,DAMIN >eiweißarm<,500g,4.30   ,0.4,,Мука
9d02f510-8164-47c9-b647-26bd702e406a,Loprofin,Cake Mix Schokoladen-Backmischung,500g,8.80   ,0.9,,Шоколадная смесь муки для выпечки
c447180b-9735-470f-9420-6476a0aa10fc,Loprofin,Bratwurst Art,195g,5.50   ,5.3,,Колбаса для жарки
dac4217a-fcd4-4f1a-944d-1ad773cc362f,Loprofin,"""Lyoner Art""",195g,5.50   ,4.6,,Колбаса типа докторской
a8f97b7f-9a2e-442e-9499-e4fdad0f9966,Loprofin,"""Paprikalyoner Art""",195g,5.50   ,4.9,,Колбаса типа докторской с паприкой
252fdaca-6946-4fde-8d5d-06dae9fa8adf,Loprofin,"""Fränkische Art""",222g,7.75   ,4.8,,Сосиски белые для жарки
4204adaa-f0cf-434e-8f2e-dc317cde0aaa,Loprofin,"""Wiener Art""",204g,7.15   ,5.3,,Сосиски Венские
